date,Close,Volume,Daily_Return
2025-10-15,25323.55078125,289900,0.7080820872521931
2025-10-16,25585.30078125,372800,1.0336228211479837
2025-10-17,25709.849609375,422100,0.48679837376106594
2025-10-20,25843.150390625,301100,0.5184813729964155
2025-10-21,25868.599609375,42500,0.09847568259027106
2025-10-23,25891.400390625,448400,0.08814076368377499
2025-10-24,25795.150390625,284900,-0.37174505259611745
2025-10-27,25966.05078125,266300,0.6625291500029773
2025-10-28,25936.19921875,395200,-0.1149638146805021
2025-10-29,26053.900390625,321900,0.45381040946781415
2025-10-30,25877.849609375,257400,-0.6757175647810088
2025-10-31,25722.099609375,334400,-0.6018660837397216
2025-11-03,25763.349609375,23300,0.16036793506921665
2025-11-04,25597.650390625,305100,-0.6431586779760301
2025-11-06,25509.69921875,371900,-0.34359080045569534
2025-11-07,25492.30078125,305600,-0.06820322478444663
2025-11-10,25574.349609375,243600,0.32185728871263475
2025-11-11,25694.94921875,297700,0.47156471705849246
2025-11-12,25875.80078125,312600,0.7038409025849734
2025-11-13,25879.150390625,385200,0.012944949620363744
2025-11-14,25910.05078125,518900,0.1194026471448284
2025-11-17,26013.44921875,281800,0.39906690408659795
2025-11-18,25910.05078125,280000,-0.39748069020186794
2025-11-19,26052.650390625,250100,0.5503640675154298
2025-11-20,26192.150390625,240400,0.5354541588221684
2025-11-21,26068.150390625,235600,-0.47342428227803435
2025-11-24,25959.5,464700,-0.4167936312968079
2025-11-25,25884.80078125,260500,-0.2877529180069005
2025-11-26,26205.30078125,275300,1.2381783530362567
2025-11-27,26215.55078125,240300,0.03911422381892571
2025-11-28,26202.94921875,202500,-0.04806903583736144
2025-12-01,26175.75,213800,-0.10380212747401751
2025-12-02,26032.19921875,254800,-0.5484113396941881
2025-12-03,25986.0,265700,-0.17746951904364927
2025-12-04,26033.75,248100,0.18375278996383138
2025-12-05,26186.44921875,249300,0.5865433091659877
2025-12-08,25960.55078125,320700,-0.862653945989178
2025-12-09,25839.650390625,276000,-0.46570811090926867
2025-12-10,25758.0,207900,-0.31598875909956137
2025-12-11,25898.55078125,206100,0.54565875164998
2025-12-12,26046.94921875,216300,0.5729990019651465
2025-12-15,26027.30078125,181600,-0.07543469807149705
2025-12-16,25860.099609375,264400,-0.6424068837574293
2025-12-17,25818.55078125,206500,-0.1606677033445636
2025-12-18,25815.55078125,197600,-0.011619552256891819
2025-12-19,25966.400390625,382900,0.5843362036054733
2025-12-22,26172.400390625,253000,0.7933329106115661
2025-12-23,26177.150390625,216600,0.018148889399149937
2025-12-24,26142.099609375,188800,-0.13389838361685946
2025-12-26,26042.30078125,142200,-0.3817552133005053
2025-12-29,25942.099609375,234300,-0.3847631310177624
2025-12-30,25938.849609375,396900,-0.012527898855285713
2025-12-31,26129.599609375,246300,0.7353834224439026
2026-01-01,26146.55078125,425600,0.06487344669803274
2026-01-02,26328.55078125,357500,0.6960765170238581
2026-01-05,26250.30078125,338800,-0.2972058760474017
2026-01-06,26178.69921875,383000,-0.27276473171363724
2026-01-07,26140.75,338200,-0.1449622016468255
2026-01-08,25876.849609375,328500,-1.0095364158449915
2026-01-09,25683.30078125,348800,-0.7479613285493514
2026-01-12,25790.25,275800,0.41641539637333747
2026-01-13,25732.30078125,339500,-0.2246942885392733
2026-01-14,25665.599609375,393100,-0.259211846006413
2026-01-16,25694.349609375,434000,0.11201764399650926
2026-01-19,25585.5,443100,-0.4236324757381116
2026-01-20,25232.5,409800,-1.3796877137441155
2026-01-21,25157.5,395600,-0.29723570791637677
2026-01-22,25289.900390625,486400,0.526285960946038
2026-01-23,25048.650390625,393900,-0.9539381186706164
2026-01-27,25175.400390625,618700,0.5060152863462841
2026-01-28,25342.75,574900,0.6647346488174222
2026-01-29,25418.900390625,582400,0.30048195489833507
2026-01-30,25320.650390625,508400,-0.3865234077404689
2026-02-02,25088.400390625,449200,-0.917235522852089
2026-02-03,25727.55078125,637300,2.547593233021894
2026-02-04,25776.0,429800,0.18831648283172964
2026-02-05,25642.80078125,343800,-0.516756745616076
2026-02-06,25693.69921875,375500,0.19849016468285186
2026-02-09,25867.30078125,359400,0.6756581098813275
2026-02-10,25935.150390625,460900,0.26229876069705504
2026-02-11,25953.849609375,331400,0.07209990483325601
2026-02-12,25807.19921875,419400,-0.565042923620962
2026-02-13,25471.099609375,453500,-1.302348257655217
2026-02-16,25682.75,275800,0.8309432803093486
2026-02-17,25725.400390625,344100,0.166066292063749
2026-02-18,25819.349609375,310200,0.3652002197183979
2026-02-19,25454.349609375,298200,-1.4136684522350174
2026-02-20,25571.25,296600,0.4592550680687868
2026-02-23,25713.0,313700,0.554333479982394
2026-02-24,25424.650390625,439100,-1.1214156627970318
2026-02-25,25482.5,414200,0.2275335490801167
2026-02-26,25496.55078125,405200,0.05513894339252978
2026-02-27,25178.650390625,438900,-1.2468368500212268
2026-03-02,24865.69921875,519200,-1.2429227421638323
2026-03-04,24480.5,599000,-1.5491187895474101
2026-03-05,24765.900390625,504300,1.1658274570576665
2026-03-06,24450.44921875,433400,-1.2737318930444053
2026-03-09,24028.05078125,526900,-1.7275692308183932
2026-03-10,24261.599609375,444300,0.9719840791548862
2026-03-11,23866.849609375,407400,-1.6270567743087438
2026-03-12,23639.150390625,501000,-0.9540396930332928
2026-03-13,23151.099609375,519800,-2.064586811222946
2026-03-16,23408.80078125,540300,1.1131271353117311
2026-03-17,23581.150390625,458800,0.7362598835607637
2026-03-18,23777.80078125,382900,0.8339304375208911
2026-03-19,23002.150390625,550100,-3.2620779262169552
2026-03-20,23114.5,663300,0.4884308965338757
2026-03-23,22512.650390625,550300,-2.6037751600726855
2026-03-24,22912.400390625,538100,1.7756683156527453
2026-03-25,23306.44921875,505400,1.719805962740728
2026-03-27,22819.599609375,612600,-2.088905112938999
2026-03-30,22331.400390625,698600,-2.139385559374285
2026-04-01,22679.400390625,518000,1.5583438293735208
2026-04-02,22713.099609375,495100,0.14858954897207788
2026-04-06,22968.25,426400,1.123362266767347
2026-04-07,23123.650390625,477000,0.6765878576948658
2026-04-08,23997.349609375,639300,3.7783792956159967
2026-04-09,23775.099609375,466600,-0.9261439434677166
2026-04-10,24050.599609375,481300,1.1587753764504383
2026-04-13,23842.650390625,488800,-0.8646321593950623
2026-04-15,24231.30078125,460300,1.6300637062472756
2026-04-16,24196.75,508000,-0.1425873978533332
2026-04-17,24353.55078125,498600,0.6480241406387144
2026-04-20,24364.849609375,415900,0.04639499277327985
2026-04-21,24576.599609375,425800,0.8690798564113589
2026-04-22,24378.099609375,440500,-0.8076788618238351
2026-04-23,24173.05078125,467500,-0.8411190019346093
2026-04-24,23897.94921875,438400,-1.1380506539678703
2026-04-27,24092.69921875,430300,0.8149234824183171
2026-04-28,23995.69921875,554100,-0.4026115924964935
2026-04-29,24177.650390625,531100,0.7582657634449097
2026-04-30,23997.55078125,505500,-0.7449012061355398
2026-05-04,24119.30078125,419100,0.5073434414612388
2026-05-05,24032.80078125,363300,-0.35863394542201554
2026-05-06,24330.94921875,429200,1.240589643353629
2026-05-07,24326.650390625,440600,-0.017668148029703623
2026-05-08,24176.150390625,335900,-0.6186630612244115
2026-05-11,23815.849609375,390100,-1.4903149402549887
2026-05-12,23379.55078125,447500,-1.8319683541890175
2026-05-13,23412.599609375,415400,0.14135784059419176
2026-05-14,23689.599609375,428700,1.1831236369372666
2026-05-15,23643.5,408900,-0.19459851637491088
2026-05-18,23649.94921875,392000,0.027276920718177777
2026-05-19,23618.0,442000,-0.1350921241076941
2026-05-20,23659.0,344100,0.173596409518173
2026-05-21,23654.69921875,348200,-0.018178203854768427
2026-05-22,23719.30078125,336100,0.2731024474358801
2026-05-25,24031.69921875,351200,1.317064277657587
2026-05-26,23913.69921875,387900,-0.4910181295375682
